,"Mika, kerrostalo","Emma, omakotitalo",Koko yhteiskunta
HETI ,"Kodin sähkölaitteet eivät toimi. Älylaitteita ei voi ladata sähköllä.

Mikan kotitalon kaukolämpöjärjestelmä vaatii sähköä, joten se sammuu. Asunnossa lämmön katkeamista ei vielä huomaa.","Kodin sähkölaitteet ja -lämmitys eivät toimi. Älylaitteita ei voi ladata sähköllä.

Porakaivo vaatii sähköä, joten veden tulo lakkaa. Vesivessan voi vetää vain kerran. 

","Sairaaloissa normaalitoiminnot ajetaan varavoiman avulla hallitusti alas. Potilasturvallisuus ei vaarannu. Kiireellistä hoitoa voidaan antaa pitkäänkin.

Kaikki sähköllä kulkeva joukkoliikenne pysähtyy. Kulkuneuvoista poistumisessa ohjeistetaan.

Pankkiautomaatit ja pankkien konttorit menevät kiinni. Maksukortit lakkaavat toimimasta.

Katuvalot ja liikennevalot sammuvat, lähes kaikki huoltoasemat menevät kiinni.

Viranomaiset pitävät keskenään yhteyttä Virve-viranomaisverkon kautta. Sen tukiasemat on varmistettu akuilla. "
3 min,"Mika asuu lähellä vesitornia, joten kylmää vettä tulee vielä jonkin aikaa. Hän ei kuitenkaan tuhlaa vettä vessan huuhteluun.

Mika saa talteen juomavettä ämpärillisen verran. Muita hyviä vesiastoita ei kotoa löydy.","Emma kuulee radiosta, että ilman puun polttoa talon lämpötila voi laskea 18 tunnissa 10 lämpöasteeseen. Kamiinaan laitetaan tuli.

Emma saa viestin päiväkodista: Se pyritään pitämään toistaiseksi auki. Hän lähtee kuitenkin hakemaan lastaan. Samalla hän lataa puhelinta autolaturilla ja kuuntelee tiedotteita autoradiosta. 
","Viranomaisten määritelmän mukaan sähkökatko muuttuu pitkäksi 3 minuutin jälkeen.

"
30 min,"Mika avaa jääkaapin: Hyllyt ovat aika tyhjät. Siis kauppaan. 

Rapun hissi ei toimi. Mika lukee rapussa huoltoyhtiön tiedotetta: Hissien ovet saadaan mekaanisesti auki sähkökatkonkin aikana.

Mika kävelee lähikauppaan, mutta se on kiinni. Hän kuuntelee puhelimella Yle Areenasta Radio Suomea. Siellä kerrotaan, että isommat kaupat ovat edelleen auki. 

Mika harkitsee ruoan hakua taksilla, mutta radiossa kerrotaan, että kortilla ei voi maksaa eikä hänellä ole käteistä.","
Emma yllättyy, kun lähellä oleva huoltoasema on auki. Se on yksi Suomen muutamasta kymmenestä huoltoasemasta, joilla on varavoimaa käytössään. Emma saa tankin täyteen.

Emma ottaa kyytiin parin naapurinkin lapset ja vie heidät koteihinsa. Näin naapureilta säästyy bensaa.

Emman perhe alkaa käyttämään pihan perältä löytyvää puuceeta.","Suurin osa kaupoista on mennyt kiinni. Jotkut isot kaupat ovat auki, koska niillä on varavoimaa.

Laajakaistayhteydet eivät välttämättä enää toimi. Mobiiliverkko ja puhelut toimivat edelleen."
2 tuntia,"Jos Mika ei olisi avannut jääkaappiaan aikaisemmin, ruoat olisivat lämmenneet vasta nyt. Mika syö jääkaapin laihat eväät. Hän älyää vasta nyt siirtää pakastimen ruoat parvekkeelle. 
 
Mika alkaa huomata asunnon viilenemisen. ","Emman puhelin ei enää toimi, vaikka akussa on vielä latausta.

Emma on varautunut 20 litralla juomavettä. Se riittää kolmihenkiselle perheelle juomaksi ja hammaspesuun 2-3 päiväksi. Muu peseytyminen unohdetaan.  

","Ensimmäiset mobiilitukiasemat mykistyvät, kun niiden vara-akut alkavat hiipua.

Maatilat eivät selviä ilman varavoimaa. Esimerkiksi broilerit kuolevat kahdessa tunnissa ilman ilmanvaihtoa.

Varavoimalla varustetut kaupat alkavat sulkeutua."
6 t,"Mikan puhelin ei enää toimi, vaikka akussa on vielä latausta.

Mika koputtaa naapurin oveen ja ilahtuu, kun tältä löytyy patteriradio.

Mika ja naapuri päättävät kolkutella rapun yksin asuvien vanhusten oville ja varmistaa, että heillä on kaikki kunnossa.","Emman radio toimii aurinkopaneelilla ja käsikammella, joten hän jatkaa Ylen lähetyksen kuuntelua.

","Suurimmalta osalta suomalaisia puhelin- ja nettiyhteydet ovat poikki.

Autoista loppuu vähitellen polttoaine.

Kaikki kaupat ovat sulkeutuneet."
18 t,"Mikan kuivamuonat ovat lopussa. Jos Mika ei olisi aikaisemmin siirtänyt ruokia pakastimesta parvekkeelle, pakasteet alkaisivat nyt olla liian lämpimiä. 

Mika tuo parvekkeen ruokaa sulamaan ja tarjoaa kylmää purtavaa myös naapureille.
","
Naapuri koputtaa oveen: Hänellä ei ole tulisijaa, joten puurakenteinen koti viilenee nopeasti ja putkien hajoaminen huolestuttaa. Naapuri muuttaa evakkoon Emman luokse.","Vesi vesilaitosten vesitorneissa alkaa loppua (vaihteluväli on 1-2 päivää). 

Veden tulo on loppunut jo aikaisemmin, koska pumput eivät toimi ilman sähköä."
24 t,"Jätehuolto ei toimi ja talon roskasäiliöt haisevat. Mikakin noudattaa ohjeita ja vie ulosteensa muovipussissa sekajätteisiin.

Mikan kynttilät on poltettu ja taskulampusta paristo lopussa, joten pimeän aikaan voi lähinnä nukkua.","Emman uudehko pakastin on arkkumallia ja täynnä. Jos hän ei olisi avannut sitä kertaakaan, ruoat alkaisivat vasta nyt sulaa. Emma älysi kuitenkin siirtää ruoat ulos pakkaseen hyvissä ajoin.  

Emma lämmittää kamiinan päällä purkkikeittoa ja pakasteita.

Kynttilöitä ja tuikkuja riittää vielä.",Varavoimakoneet alkavat vaatia polttoainetäydennystä.
36 t,"Mikan vesivarat alkavat ehtyä ja asunnon lämpötila on laskenut 10 lämpöasteeseen. Lisävaatteet ja peitot eivät enää juurikaan auta.

Mika kuulee naapureilta, että kunta aloittaa vedenjakelun asukkaiden omiin astioihin. ","Naapurin muutettua Emmalle juomavesi alkaa huveta.  Pihalta kannetaan lunta, jota sulatetaan juomavedeksi kamiinan päällä.","Lain mukaan sähkökatko ei saa kestää asemakaava-alueella yli kuutta tuntia eikä asemakaava-alueen ulkopuolella yli 36 tuntia. Tämä koskee kuitenkin vain myrskyn tai lumikuormien aiheuttamaa katkoa, ei koko Suomen sähköverkon kaatumista muusta syystä."
48 t,"Mika, naapuri ja rapun vanha rouva ovat siirtyneet yhdessä naapurin olohuoneeseen. He ovat tilkinneet raitisilmaventtiilit, ovet ja ikkunan. Tarvittaessa he tuulettavat nopealla läpivedolla.

Kolmikko katsoo kateellisena vastapäistä jykevää kivikerrostaloa. Siellä asuntojen viilenemiseen 10 lämpöasteeseen kestää vielä jopa 2 vuorokautta.","Toinenkin naapuri muuttaa Emman luokse. Kaikki pysyvät niissä kahdessa huoneessa, joita kamiina lämmittää parhaiten.

Kynttilät loppuvat, mutta toinen naapuri toi paristokäyttöisen lyhdyn. Sitä käytetään himmeimmällä teholla.",Hätäkeskusten polttoainevarastot ehtyvät ilman täydennystä.
48 t 5 min,"Sähköt palaavat, mutta normaalitilanne palautuu hitaasti.","Sähköt palaavat, mutta normaalitilanne palautuu hitaasti.","Sähköt palaavat, mutta normaalitilanne palautuu hitaasti."
